sku_ID,"('quantity', 'mean')","('quantity', 'sum')","('order_ID', 'nunique')","('order_hour', 'nunique')","('order_hour', 'group_mode')","('day_of_month', 'nunique')","('day_of_month', 'group_mode')","('original_unit_price', 'mean')","('discount_rate', 'mean')","('direct_discount_rate', 'mean')","('quantity_discount_rate', 'mean')","('bundle_discount_rate', 'mean')","('gift_item', 'mean')","('dc_ori', 'nunique')","('dc_ori', 'group_mode')","('dc_des', 'nunique')","('dc_des', 'group_mode')","('promise', 'group_mode')","('type', 'group_mode')",brand_ID,attribute1,attribute2
000aa92b82,1.1666666666666667,14,12,7,"(20.0, 22.0]",10,11,83.33333333333333,0.012929475587703429,0.0,0.0,0.0,0.0,6,2,9,4,-,2,9d3465eacc,4.0,100.0
000d4af39d,1.0,1,1,1,"(8.0, 10.0]",1,12,159.0,0.5094339622641509,0.5094339622641509,0.0,0.0,0.0,1,9,1,9,-,2,42e6445fca,4.0,100.0
000dc27e13,1.0,1,1,1,"(13.0, 15.0]",1,12,116.0,0.2068965517241379,0.20689655172413793,0.0,0.0,0.0,1,5,1,5,-,2,4f65703579,3.0,100.0
000e84e3a7,1.0,1,1,1,"(0.0, 8.0]",1,19,75.0,0.0,0.0,0.0,0.0,0.0,1,9,1,9,-,2,137b63c785,3.0,100.0
00104dbcd7,1.072289156626506,89,83,10,"(18.0, 20.0]",26,14,79.0,0.2600274515784658,0.25316455696202533,0.006862894616440446,0.0,0.0,7,5,36,4,2,2,5a0b271e15,2.0,100.0
001b448016,1.0,2,2,2,"(0.0, 8.0]",2,02,399.0,0.0,0.0,0.0,0.0,0.0,2,9,2,27,-,2,bf17a9fcc9,-,-
0026623716,1.0,1,1,1,"(13.0, 15.0]",1,16,258.0,0.5581395348837209,0.5,0.05813953488372093,0.0,0.0,1,4,1,4,-,2,7a99a41d60,4.0,100.0
002745ad2a,1.0,2,2,2,"(8.0, 10.0]",2,22,140.0,0.0,0.0,0.0,0.0,0.0,2,7,2,39,-,2,235542bb7b,-,50.0
002cf934b4,1.3421052631578947,51,35,6,"(8.0, 10.0]",2,01,0.39473684210526316,0.9736842105263158,0.0,0.0,0.0,0.9736842105263158,7,5,20,2,-,2,556646a4ed,4.0,100.0
00318091dc,1.0,4,4,2,"(13.0, 15.0]",3,29,89.0,0.0,0.0,0.0,0.0,0.0,3,4,4,6,-,2,da6aff76f9,3.0,60.0
0037fe285c,1.5555555555555556,14,9,5,"(10.0, 11.0]",8,14,78.0,0.4873931623931624,0.4517806267806268,0.035612535612535606,0.0,0.0,4,9,8,9,-,2,4f65703579,3.0,100.0
003da50ba1,1.0,1,1,1,"(13.0, 15.0]",1,08,160.0,0.08750000000000002,0.0,0.0875,0.0,0.0,1,4,1,4,-,2,,,
00407cdf0c,1.0,5,5,4,"(20.0, 22.0]",5,02,59.9,0.0,0.0,0.0,0.0,0.0,3,9,5,40,-,2,5581705260,-,-
0049af9c59,1.5,3,2,1,"(11.0, 13.0]",2,24,168.0,0.6116071428571429,0.5952380952380952,0.0,0.0,0.0,1,2,2,30,-,2,198cec62a1,-,-
00544474cb,1.0,1,1,1,"(20.0, 22.0]",1,06,139.0,0.0,0.0,0.0,0.0,0.0,1,4,1,4,-,2,bd97f9a5fa,4.0,100.0
00556fba9b,1.0,2,2,2,"(0.0, 8.0]",2,01,54.0,0.09259259259259256,0.0,0.09259259259259259,0.0,0.0,2,10,2,23,-,2,a3c6ee0858,3.0,40.0
0059cabfce,1.0199386503067485,665,652,10,"(13.0, 15.0]",31,28,122.88343558282209,0.21274795071402797,0.00019332886528844665,0.0,0.0,0.0,8,2,54,2,-,2,3e342224f0,3.0,100.0
005a5740d0,1.0,2,2,2,"(13.0, 15.0]",2,19,189.0,0.0,0.0,0.0,0.0,0.0,2,24,2,41,-,2,3ee5b84e96,-,-
005b8c2203,1.0,1,1,1,"(18.0, 20.0]",1,26,36.0,0.05555555555555558,0.0,0.0,0.0,0.0,1,9,1,9,-,2,adbd559b78,3.0,60.0
0070f3c30d,1.0,2,2,2,"(16.0, 18.0]",2,01,135.0,0.0,0.0,0.0,0.0,0.0,2,4,2,4,-,2,07214c9898,-,60.0
0074397ac8,1.1,11,10,5,"(13.0, 15.0]",8,13,160.0,0.14875,0.13125,0.0,0.0,0.0,5,9,8,9,-,2,3e342224f0,3.0,-
00804aa873,1.024390243902439,42,41,10,"(8.0, 10.0]",5,22,0.0,1.0,,,,1.0,10,5,20,5,2,1,fbee78d4ae,3.0,-
00836e923a,2.0,4,2,2,"(0.0, 8.0]",2,17,0.0,1.0,,,,1.0,2,10,2,10,-,2,94b4cdec6a,3.0,-
0092f9e124,1.0,1,1,1,"(16.0, 18.0]",1,31,78.0,0.0,0.0,0.0,0.0,0.0,1,5,1,5,-,2,428752be6a,4.0,50.0
0093061ccf,1.0,1,1,1,"(13.0, 15.0]",1,29,79.0,0.6215189873417721,0.6215189873417721,0.0,0.0,0.0,1,4,1,4,-,2,1b015ce634,-,-
009bfd8136,1.0,1,1,1,"(0.0, 8.0]",1,31,75.0,0.2666666666666667,0.26666666666666666,0.0,0.0,0.0,1,7,1,39,-,2,3daeabd2ce,2.0,60.0
00ac11c1de,1.0,1,1,1,"(20.0, 22.0]",1,28,139.0,0.25899280575539574,0.2589928057553957,0.0,0.0,0.0,1,7,1,1,-,2,adbd559b78,-,-
00aca3bbfe,1.0,1,1,1,"(11.0, 13.0]",1,11,128.0,0.2421875,0.2265625,0.0,0.0,0.0,1,5,1,33,-,2,45102570c8,-,-
00baaa7257,1.0,1,1,1,"(10.0, 11.0]",1,10,198.0,0.0,0.0,0.0,0.0,0.0,1,4,1,45,-,2,17b32c1de7,-,-
00c5c62d97,1.0,1,1,1,"(11.0, 13.0]",1,08,85.0,0.0,0.0,0.0,0.0,0.0,1,9,1,9,-,2,bd93831bd1,3.0,60.0
00c7a114ab,1.0,1,1,1,"(11.0, 13.0]",1,29,25.0,0.0,0.0,0.0,0.0,0.0,1,7,1,46,-,2,fd945973a9,4.0,100.0
00cb69d8fd,1.051094890510949,144,137,10,"(20.0, 22.0]",29,25,189.0,0.6367744177963156,0.6364654539837021,0.0,0.0,0.0,7,4,43,4,-,2,5ab8ea8556,3.0,90.0
00cbf5e09a,1.0,2,2,2,"(15.0, 16.0]",2,02,688.0,0.0043604651162790775,0.0,0.0,0.0,0.0,2,9,2,32,-,2,99d828adad,4.0,100.0
00cc0c688c,1.134020618556701,110,97,10,"(20.0, 22.0]",20,22,58.0,0.4534260575897618,0.0,0.4505821187344472,0.0,0.0,2,57,21,20,2,1,ddb787aeb9,4.0,100.0
00d05ccb22,1.0,3,3,1,"(0.0, 8.0]",3,01,169.0,0.11834319526627224,0.0,0.11834319526627218,0.0,0.0,3,7,3,7,-,2,7f65198ef6,4.0,100.0
00d5e84281,1.2727272727272727,14,11,6,"(16.0, 18.0]",9,23,128.0,0.375,0.3693181818181818,0.005681818181818182,0.0,0.0,6,5,9,9,-,2,4efb032b5a,2.0,-
00db83242e,1.0,2,2,2,"(10.0, 11.0]",2,12,118.0,0.0,0.0,0.0,0.0,0.0,1,7,2,49,-,2,1d8b4b4c63,-,-
00deada143,1.0,3,3,2,"(11.0, 13.0]",3,12,36.9,0.0,0.0,0.0,0.0,0.0,2,4,3,35,-,2,9b0d3a5fc6,3.0,60.0
00eacbb942,4.8,24,5,4,"(13.0, 15.0]",5,18,122.0,0.024590163934426236,0.0,0.0,0.0,0.0,4,7,5,60,-,2,4f4f971297,2.0,70.0
